Date,Open,High,Low,Close,Volume
2023-01-01 00:00,1.05,1.051,1.049,1.0505,200
2023-01-01 00:01,1.0505,1.0515,1.050,1.051,180
2023-01-01 00:02,1.051,1.052,1.0505,1.0515,190
2023-01-01 00:03,1.0515,1.0525,1.051,1.052,200
2023-01-01 00:04,1.052,1.053,1.0515,1.0525,210
2023-01-01 00:05,1.0525,1.0535,1.052,1.053,220
2023-01-01 00:06,1.053,1.054,1.0525,1.0535,230
2023-01-01 00:07,1.0535,1.0545,1.053,1.054,240
2023-01-01 00:08,1.054,1.055,1.0535,1.0545,250
2023-01-01 00:09,1.0545,1.0555,1.054,1.055,260
2023-01-01 00:10,1.055,1.056,1.0545,1.0555,270
2023-01-01 00:11,1.0555,1.0565,1.055,1.056,280
2023-01-01 00:12,1.056,1.057,1.0555,1.0565,290
2023-01-01 00:13,1.0565,1.0575,1.056,1.057,300
2023-01-01 00:14,1.057,1.058,1.0565,1.0575,310
2023-01-01 00:15,1.0575,1.0585,1.057,1.058,320
2023-01-01 00:16,1.058,1.059,1.0575,1.0585,330
2023-01-01 00:17,1.0585,1.0595,1.058,1.059,340
2023-01-01 00:18,1.059,1.06,1.0585,1.0595,350
2023-01-01 00:19,1.0595,1.0605,1.059,1.06,360
2023-01-01 00:20,1.06,1.061,1.0595,1.0605,370
2023-01-01 00:21,1.0605,1.0615,1.06,1.061,380
2023-01-01 00:22,1.061,1.062,1.0605,1.0615,390
2023-01-01 00:23,1.0615,1.0625,1.061,1.062,400
2023-01-01 00:24,1.062,1.063,1.0615,1.0625,410
2023-01-01 00:25,1.0625,1.0635,1.062,1.063,420
2023-01-01 00:26,1.063,1.064,1.0625,1.0635,430
2023-01-01 00:27,1.0635,1.0645,1.063,1.064,440
2023-01-01 00:28,1.064,1.065,1.0635,1.0645,450
2023-01-01 00:29,1.0645,1.0655,1.064,1.065,460
2023-01-01 00:30,1.065,1.066,1.0645,1.0655,470
2023-01-01 00:31,1.0655,1.0665,1.065,1.066,480
2023-01-01 00:32,1.066,1.067,1.0655,1.0665,490
2023-01-01 00:33,1.0665,1.0675,1.066,1.067,500
2023-01-01 00:34,1.067,1.068,1.0665,1.0675,510
2023-01-01 00:35,1.0675,1.0685,1.067,1.068,520
2023-01-01 00:36,1.068,1.069,1.0675,1.0685,530
2023-01-01 00:37,1.0685,1.0695,1.068,1.069,540
2023-01-01 00:38,1.069,1.07,1.0685,1.0695,550
2023-01-01 00:39,1.0695,1.0705,1.069,1.07,560
2023-01-01 00:40,1.07,1.071,1.0695,1.0705,570
2023-01-01 00:41,1.0705,1.0715,1.07,1.071,580
2023-01-01 00:42,1.071,1.072,1.0705,1.0715,590
2023-01-01 00:43,1.0715,1.0725,1.071,1.072,600
2023-01-01 00:44,1.072,1.073,1.0715,1.0725,610
2023-01-01 00:45,1.0725,1.0735,1.072,1.073,620
2023-01-01 00:46,1.073,1.074,1.0725,1.0735,630
2023-01-01 00:47,1.0735,1.0745,1.073,1.074,640
2023-01-01 00:48,1.074,1.075,1.0735,1.0745,650
2023-01-01 00:49,1.0745,1.0755,1.074,1.075,660
2023-01-01 00:50,1.075,1.076,1.0745,1.0755,670
2023-01-01 00:51,1.0755,1.0765,1.075,1.076,680
2023-01-01 00:52,1.076,1.077,1.0755,1.0765,690
2023-01-01 00:53,1.0765,1.0775,1.076,1.077,700
2023-01-01 00:54,1.077,1.078,1.0765,1.0775,710
2023-01-01 00:55,1.0775,1.0785,1.077,1.078,720
2023-01-01 00:56,1.078,1.079,1.0775,1.0785,730
2023-01-01 00:57,1.0785,1.0795,1.078,1.079,740
2023-01-01 00:58,1.079,1.08,1.0785,1.0795,750
2023-01-01 00:59,1.0795,1.0805,1.079,1.08,760
2023-01-01 01:00,1.08,1.081,1.0795,1.0805,770
2023-01-01 01:01,1.0805,1.0815,1.08,1.081,780
2023-01-01 01:02,1.081,1.082,1.0805,1.0815,790
2023-01-01 01:03,1.0815,1.0825,1.081,1.082,800
2023-01-01 01:04,1.082,1.083,1.0815,1.0825,810
2023-01-01 01:05,1.0825,1.0835,1.082,1.083,820
2023-01-01 01:06,1.083,1.084,1.0825,1.0835,830
2023-01-01 01:07,1.0835,1.0845,1.083,1.084,840
2023-01-01 01:08,1.084,1.085,1.0835,1.0845,850
2023-01-01 01:09,1.0845,1.0855,1.084,1.085,860
2023-01-01 01:10,1.085,1.086,1.0845,1.0855,870
2023-01-01 01:11,1.0855,1.0865,1.085,1.086,880
2023-01-01 01:12,1.086,1.087,1.0855,1.0865,890
2023-01-01 01:13,1.0865,1.0875,1.086,1.087,900
2023-01-01 01:14,1.087,1.088,1.0865,1.0875,910
2023-01-01 01:15,1.0875,1.0885,1.087,1.088,920
2023-01-01 01:16,1.088,1.089,1.0875,1.0885,930
2023-01-01 01:17,1.0885,1.0895,1.088,1.089,940
2023-01-01 01:18,1.089,1.09,1.0885,1.0895,950
2023-01-01 01:19,1.0895,1.0905,1.089,1.09,960
2023-01-01 01:20,1.09,1.091,1.0895,1.0905,970
2023-01-01 01:21,1.0905,1.0915,1.09,1.091,980
2023-01-01 01:22,1.091,1.092,1.0905,1.0915,990
2023-01-01 01:23,1.0915,1.0925,1.091,1.092,1000
2023-01-01 01:24,1.092,1.093,1.0915,1.0925,1010
2023-01-01 01:25,1.0925,1.0935,1.092,1.093,1020
