Date,Open,High,Low,Close,Volume
2023-01-01 00:00,110.5,110.6,110.4,110.55,300
2023-01-01 00:01,110.55,110.58,110.50,110.57,250
2023-01-01 00:02,110.57,110.60,110.55,110.59,260
2023-01-01 00:03,110.59,110.62,110.57,110.61,270
2023-01-01 00:04,110.61,110.64,110.59,110.63,280
2023-01-01 00:05,110.63,110.66,110.61,110.65,290
2023-01-01 00:06,110.65,110.68,110.63,110.67,300
2023-01-01 00:07,110.67,110.70,110.65,110.69,310
2023-01-01 00:08,110.69,110.72,110.67,110.71,320
2023-01-01 00:09,110.71,110.74,110.69,110.73,330
2023-01-01 00:10,110.73,110.76,110.71,110.75,340
2023-01-01 00:11,110.75,110.78,110.73,110.77,350
2023-01-01 00:12,110.77,110.80,110.75,110.79,360
2023-01-01 00:13,110.79,110.82,110.77,110.81,370
2023-01-01 00:14,110.81,110.84,110.79,110.83,380
2023-01-01 00:15,110.83,110.86,110.81,110.85,390
2023-01-01 00:16,110.85,110.88,110.83,110.87,400
2023-01-01 00:17,110.87,110.90,110.85,110.89,410
2023-01-01 00:18,110.89,110.92,110.87,110.91,420
2023-01-01 00:19,110.91,110.94,110.89,110.93,430
2023-01-01 00:20,110.93,110.96,110.91,110.95,440
2023-01-01 00:21,110.95,110.98,110.93,110.97,450
2023-01-01 00:22,110.97,111.00,110.95,110.99,460
2023-01-01 00:23,110.99,111.02,110.97,111.01,470
2023-01-01 00:24,111.01,111.04,110.99,111.03,480
2023-01-01 00:25,111.03,111.06,111.01,111.05,490
2023-01-01 00:26,111.05,111.08,111.03,111.07,500
2023-01-01 00:27,111.07,111.10,111.05,111.09,510
2023-01-01 00:28,111.09,111.12,111.07,111.11,520
2023-01-01 00:29,111.11,111.14,111.09,111.13,530
2023-01-01 00:30,111.13,111.16,111.11,111.15,540
2023-01-01 00:31,111.15,111.18,111.13,111.17,550
2023-01-01 00:32,111.17,111.20,111.15,111.19,560
2023-01-01 00:33,111.19,111.22,111.17,111.21,570
2023-01-01 00:34,111.21,111.24,111.19,111.23,580
2023-01-01 00:35,111.23,111.26,111.21,111.25,590
2023-01-01 00:36,111.25,111.28,111.23,111.27,600
2023-01-01 00:37,111.27,111.30,111.25,111.29,610
2023-01-01 00:38,111.29,111.32,111.27,111.31,620
2023-01-01 00:39,111.31,111.34,111.29,111.33,630
2023-01-01 00:40,111.33,111.36,111.31,111.35,640
2023-01-01 00:41,111.35,111.38,111.33,111.37,650
2023-01-01 00:42,111.37,111.40,111.35,111.39,660
2023-01-01 00:43,111.39,111.42,111.37,111.41,670
2023-01-01 00:44,111.41,111.44,111.39,111.43,680
2023-01-01 00:45,111.43,111.46,111.41,111.45,690
2023-01-01 00:46,111.45,111.48,111.43,111.47,700
2023-01-01 00:47,111.47,111.50,111.45,111.49,710
2023-01-01 00:48,111.49,111.52,111.47,111.51,720
2023-01-01 00:49,111.51,111.54,111.49,111.53,730
2023-01-01 00:50,111.53,111.56,111.51,111.55,740
2023-01-01 00:51,111.55,111.58,111.53,111.57,750
2023-01-01 00:52,111.57,111.60,111.55,111.59,760
2023-01-01 00:53,111.59,111.62,111.57,111.61,770
2023-01-01 00:54,111.61,111.64,111.59,111.63,780
2023-01-01 00:55,111.63,111.66,111.61,111.65,790
2023-01-01 00:56,111.65,111.68,111.63,111.67,800
2023-01-01 00:57,111.67,111.70,111.65,111.69,810
2023-01-01 00:58,111.69,111.72,111.67,111.71,820
2023-01-01 00:59,111.71,111.74,111.69,111.73,830
2023-01-01 01:00,111.73,111.76,111.71,111.75,840
2023-01-01 01:01,111.75,111.78,111.73,111.77,850
2023-01-01 01:02,111.77,111.80,111.75,111.79,860
2023-01-01 01:03,111.79,111.82,111.77,111.81,870
2023-01-01 01:04,111.81,111.84,111.79,111.83,880
2023-01-01 01:05,111.83,111.86,111.81,111.85,890
2023-01-01 01:06,111.85,111.88,111.83,111.87,900
2023-01-01 01:07,111.87,111.90,111.85,111.89,910
2023-01-01 01:08,111.89,111.92,111.87,111.91,920
2023-01-01 01:09,111.91,111.94,111.89,111.93,930
2023-01-01 01:10,111.93,111.96,111.91,111.95,940
